,f_slp:fitbit_sleep_summary_rapids_sumdurationasleepmain:allday,f_slp:fitbit_sleep_summary_rapids_sumdurationasleepmain:night,f_slp:fitbit_sleep_summary_rapids_firstwaketimemain:allday,f_slp:fitbit_sleep_summary_rapids_firstbedtimemain:allday,pid,date,f_screen:phone_screen_rapids_sumdurationunlock:allday,f_screen:phone_screen_rapids_countepisodeunlock:allday,month,week,week_period,platform
86,449.0,,530.0,1658.0,INS-W_600,2020-06-10,,,June,13,2020-06-08 to  2020-06-14,ios
87,424.0,,697.0,1667.5,INS-W_600,2020-06-11,,,June,13,2020-06-08 to  2020-06-14,ios
88,423.0,,707.0,1775.0,INS-W_600,2020-06-12,,,June,13,2020-06-08 to  2020-06-14,ios
89,462.0,,778.5,1715.5,INS-W_600,2020-06-13,,,June,13,2020-06-08 to  2020-06-14,ios
90,,,,,INS-W_600,2020-06-14,,,June,13,2020-06-08 to  2020-06-14,ios
91,,,,,INS-W_600,2020-06-15,,,June,14,2020-06-15 to  2020-06-21,ios
92,,,,,INS-W_600,2020-06-16,,,June,14,2020-06-15 to  2020-06-21,ios
93,,,,,INS-W_600,2020-06-17,,,June,14,2020-06-15 to  2020-06-21,ios
94,,,,,INS-W_600,2020-06-18,,,June,14,2020-06-15 to  2020-06-21,ios
95,,,,,INS-W_600,2020-06-19,,,June,14,2020-06-15 to  2020-06-21,ios
96,,,,,INS-W_600,2020-06-20,,,June,14,2020-06-15 to  2020-06-21,ios
97,,,,,INS-W_600,2020-06-21,,,June,14,2020-06-15 to  2020-06-21,ios
98,,,,,INS-W_600,2020-06-22,,,June,15,2020-06-22 to  2020-06-28,ios
99,,,,,INS-W_600,2020-06-23,,,June,15,2020-06-22 to  2020-06-28,ios
100,,,,,INS-W_600,2020-06-24,,,June,15,2020-06-22 to  2020-06-28,ios
101,,,,,INS-W_600,2020-06-25,,,June,15,2020-06-22 to  2020-06-28,ios
102,,,,,INS-W_600,2020-06-26,,,June,15,2020-06-22 to  2020-06-28,ios
103,,,,,INS-W_601,2020-03-16,596.3106,26.0,Mar,1,2020-03-16 to  2020-03-22,ios
104,,,,,INS-W_601,2020-03-17,604.220800000001,30.0,Mar,1,2020-03-16 to  2020-03-22,ios
105,,,,,INS-W_601,2020-03-18,659.80755,28.0,Mar,1,2020-03-16 to  2020-03-22,ios
106,,,,,INS-W_601,2020-03-19,572.27275,29.0,Mar,1,2020-03-16 to  2020-03-22,ios
107,,,,,INS-W_601,2020-03-20,540.641933333334,37.0,Mar,1,2020-03-16 to  2020-03-22,ios
108,,,,,INS-W_601,2020-03-21,455.521533333333,57.0,Mar,1,2020-03-16 to  2020-03-22,ios
109,,,,,INS-W_601,2020-03-22,459.988033333333,41.0,Mar,1,2020-03-16 to  2020-03-22,ios
110,,,,,INS-W_601,2020-03-23,677.53865,43.0,Mar,2,2020-03-23 to  2020-03-29,ios
111,,,,,INS-W_601,2020-03-24,106.789066666667,11.0,Mar,2,2020-03-23 to  2020-03-29,ios
112,,,,,INS-W_601,2020-03-25,412.3509,38.0,Mar,2,2020-03-23 to  2020-03-29,ios
113,,,,,INS-W_601,2020-03-26,612.013083333333,43.0,Mar,2,2020-03-23 to  2020-03-29,ios
114,,,,,INS-W_601,2020-03-27,508.113900000001,48.0,Mar,2,2020-03-23 to  2020-03-29,ios
115,,,,,INS-W_601,2020-03-28,299.659716666667,31.0,Mar,2,2020-03-23 to  2020-03-29,ios
116,,,,,INS-W_601,2020-03-29,531.207516666667,46.0,Mar,2,2020-03-23 to  2020-03-29,ios
117,,,,,INS-W_601,2020-03-30,498.281283333333,54.0,Mar,3,2020-03-30 to  2020-04-05,ios
118,,,,,INS-W_601,2020-03-31,533.9846,29.0,Mar,3,2020-03-30 to  2020-04-05,ios
119,,,,,INS-W_601,2020-04-01,651.184416666667,50.0,Apr,3,2020-03-30 to  2020-04-05,ios
120,,,,,INS-W_601,2020-04-02,246.584966666667,16.0,Apr,3,2020-03-30 to  2020-04-05,ios
121,,,,,INS-W_601,2020-04-03,685.396783333334,38.0,Apr,3,2020-03-30 to  2020-04-05,ios
122,,,,,INS-W_601,2020-04-04,562.08115,36.0,Apr,3,2020-03-30 to  2020-04-05,ios
123,,,,,INS-W_601,2020-04-05,368.3811,44.0,Apr,3,2020-03-30 to  2020-04-05,ios
124,,,,,INS-W_601,2020-04-06,570.69955,91.0,Apr,4,2020-04-06 to  2020-04-12,ios
125,,,,,INS-W_601,2020-04-07,745.743316666667,60.0,Apr,4,2020-04-06 to  2020-04-12,ios
126,,,,,INS-W_601,2020-04-08,705.049600000001,40.0,Apr,4,2020-04-06 to  2020-04-12,ios
127,,,,,INS-W_601,2020-04-09,633.58005,63.0,Apr,4,2020-04-06 to  2020-04-12,ios
128,,,,,INS-W_601,2020-04-10,659.24915,68.0,Apr,4,2020-04-06 to  2020-04-12,ios
129,,,,,INS-W_601,2020-04-11,517.41355,30.0,Apr,4,2020-04-06 to  2020-04-12,ios
130,,,,,INS-W_601,2020-04-12,595.745483333333,42.0,Apr,4,2020-04-06 to  2020-04-12,ios
131,,,,,INS-W_601,2020-04-13,610.2576,55.0,Apr,5,2020-04-13 to  2020-04-19,ios
132,,,,,INS-W_601,2020-04-14,637.356883333333,42.0,Apr,5,2020-04-13 to  2020-04-19,ios
133,,,,,INS-W_601,2020-04-15,407.17485,42.0,Apr,5,2020-04-13 to  2020-04-19,ios
134,,,,,INS-W_601,2020-04-16,,,Apr,5,2020-04-13 to  2020-04-19,ios
135,,,,,INS-W_601,2020-04-17,,,Apr,5,2020-04-13 to  2020-04-19,ios
136,,,,,INS-W_601,2020-04-18,123.858833333333,19.0,Apr,5,2020-04-13 to  2020-04-19,ios
137,,,,,INS-W_601,2020-04-19,742.4001,60.0,Apr,5,2020-04-13 to  2020-04-19,ios
138,,,,,INS-W_601,2020-04-20,698.267833333333,63.0,Apr,6,2020-04-20 to  2020-04-26,ios
139,,,,,INS-W_601,2020-04-21,633.517133333333,36.0,Apr,6,2020-04-20 to  2020-04-26,ios
140,,,,,INS-W_601,2020-04-22,620.153316666667,56.0,Apr,6,2020-04-20 to  2020-04-26,ios
141,,,,,INS-W_601,2020-04-23,596.567133333333,45.0,Apr,6,2020-04-20 to  2020-04-26,ios
142,,,,,INS-W_601,2020-04-24,541.086616666667,72.0,Apr,6,2020-04-20 to  2020-04-26,ios
143,,,,,INS-W_601,2020-04-25,680.956266666666,31.0,Apr,6,2020-04-20 to  2020-04-26,ios
144,,,,,INS-W_601,2020-04-26,660.766066666666,36.0,Apr,6,2020-04-20 to  2020-04-26,ios
145,,,,,INS-W_601,2020-04-27,620.051116666667,40.0,Apr,7,2020-04-27 to  2020-05-03,ios
146,,,,,INS-W_601,2020-04-28,652.300616666667,28.0,Apr,7,2020-04-27 to  2020-05-03,ios
147,,,,,INS-W_601,2020-04-29,612.4218,39.0,Apr,7,2020-04-27 to  2020-05-03,ios
148,,,,,INS-W_601,2020-04-30,435.3855,25.0,Apr,7,2020-04-27 to  2020-05-03,ios
149,,,,,INS-W_601,2020-05-01,631.734083333333,48.0,May,7,2020-04-27 to  2020-05-03,ios
150,,,,,INS-W_601,2020-05-02,718.553166666668,34.0,May,7,2020-04-27 to  2020-05-03,ios
151,,,,,INS-W_601,2020-05-03,656.991983333334,27.0,May,7,2020-04-27 to  2020-05-03,ios
152,,,,,INS-W_601,2020-05-04,468.122933333333,65.0,May,8,2020-05-04 to  2020-05-10,ios
153,,,,,INS-W_601,2020-05-05,501.808383333333,42.0,May,8,2020-05-04 to  2020-05-10,ios
154,,,,,INS-W_601,2020-05-06,680.717400000001,38.0,May,8,2020-05-04 to  2020-05-10,ios
155,,,,,INS-W_601,2020-05-07,342.432683333333,36.0,May,8,2020-05-04 to  2020-05-10,ios
156,,,,,INS-W_601,2020-05-08,441.047616666667,44.0,May,8,2020-05-04 to  2020-05-10,ios
157,,,,,INS-W_601,2020-05-09,442.348833333333,58.0,May,8,2020-05-04 to  2020-05-10,ios
158,,,,,INS-W_601,2020-05-10,601.43105,57.0,May,8,2020-05-04 to  2020-05-10,ios
159,,,,,INS-W_601,2020-05-11,787.806283333334,26.0,May,9,2020-05-11 to  2020-05-17,ios
160,,,,,INS-W_601,2020-05-12,12.9055666666667,3.0,May,9,2020-05-11 to  2020-05-17,ios
161,,,,,INS-W_601,2020-05-13,702.730116666667,61.0,May,9,2020-05-11 to  2020-05-17,ios
162,,,,,INS-W_601,2020-05-14,624.881916666667,71.0,May,9,2020-05-11 to  2020-05-17,ios
163,,,,,INS-W_601,2020-05-15,654.795716666667,60.0,May,9,2020-05-11 to  2020-05-17,ios
164,,,,,INS-W_601,2020-05-16,436.5215,76.0,May,9,2020-05-11 to  2020-05-17,ios
165,,,,,INS-W_601,2020-05-17,449.945383333333,47.0,May,9,2020-05-11 to  2020-05-17,ios
166,,,,,INS-W_601,2020-05-18,611.74775,55.0,May,10,2020-05-18 to  2020-05-24,ios
167,,,,,INS-W_601,2020-05-19,441.774883333333,70.0,May,10,2020-05-18 to  2020-05-24,ios
168,,,,,INS-W_601,2020-05-20,525.9606,57.0,May,10,2020-05-18 to  2020-05-24,ios
169,,,,,INS-W_601,2020-05-21,409.619266666667,44.0,May,10,2020-05-18 to  2020-05-24,ios
170,,,,,INS-W_601,2020-05-22,542.096733333333,42.0,May,10,2020-05-18 to  2020-05-24,ios
171,,,,,INS-W_601,2020-05-23,174.775516666667,14.0,May,10,2020-05-18 to  2020-05-24,ios
172,,,,,INS-W_601,2020-05-24,413.78605,51.0,May,10,2020-05-18 to  2020-05-24,ios
173,,,,,INS-W_601,2020-05-25,509.833183333333,69.0,May,11,2020-05-25 to  2020-05-31,ios
174,,,,,INS-W_601,2020-05-26,697.6108,50.0,May,11,2020-05-25 to  2020-05-31,ios
175,,,,,INS-W_601,2020-05-27,715.01405,39.0,May,11,2020-05-25 to  2020-05-31,ios
176,,,,,INS-W_601,2020-05-28,561.020033333333,52.0,May,11,2020-05-25 to  2020-05-31,ios
177,,,,,INS-W_601,2020-05-29,605.568483333333,77.0,May,11,2020-05-25 to  2020-05-31,ios
178,,,,,INS-W_601,2020-05-30,386.1584,53.0,May,11,2020-05-25 to  2020-05-31,ios
179,,,,,INS-W_601,2020-05-31,469.006783333333,42.0,May,11,2020-05-25 to  2020-05-31,ios
180,,,,,INS-W_601,2020-06-01,305.341866666667,41.0,June,12,2020-06-01 to  2020-06-07,ios
181,,,,,INS-W_601,2020-06-02,541.199716666667,33.0,June,12,2020-06-01 to  2020-06-07,ios
182,,,,,INS-W_601,2020-06-03,461.691033333333,38.0,June,12,2020-06-01 to  2020-06-07,ios
183,,,,,INS-W_601,2020-06-04,490.121366666667,46.0,June,12,2020-06-01 to  2020-06-07,ios
184,,,,,INS-W_601,2020-06-05,406.746483333333,69.0,June,12,2020-06-01 to  2020-06-07,ios
185,,,,,INS-W_601,2020-06-06,210.42385,78.0,June,12,2020-06-01 to  2020-06-07,ios
186,,,,,INS-W_601,2020-06-07,290.738533333333,32.0,June,12,2020-06-01 to  2020-06-07,ios
187,,,,,INS-W_601,2020-06-08,,,June,13,2020-06-08 to  2020-06-14,ios
188,,,,,INS-W_601,2020-06-09,,,June,13,2020-06-08 to  2020-06-14,ios
189,,,,,INS-W_601,2020-06-10,,,June,13,2020-06-08 to  2020-06-14,ios
190,,,,,INS-W_601,2020-06-11,,,June,13,2020-06-08 to  2020-06-14,ios
191,,,,,INS-W_601,2020-06-12,,,June,13,2020-06-08 to  2020-06-14,ios
192,,,,,INS-W_601,2020-06-13,,,June,13,2020-06-08 to  2020-06-14,ios
193,,,,,INS-W_601,2020-06-14,,,June,13,2020-06-08 to  2020-06-14,ios
194,,,,,INS-W_601,2020-06-15,,,June,14,2020-06-15 to  2020-06-21,ios
195,,,,,INS-W_601,2020-06-16,,,June,14,2020-06-15 to  2020-06-21,ios
196,,,,,INS-W_601,2020-06-17,,,June,14,2020-06-15 to  2020-06-21,ios
197,,,,,INS-W_601,2020-06-18,,,June,14,2020-06-15 to  2020-06-21,ios
198,,,,,INS-W_601,2020-06-19,,,June,14,2020-06-15 to  2020-06-21,ios
199,,,,,INS-W_601,2020-06-20,,,June,14,2020-06-15 to  2020-06-21,ios
200,,,,,INS-W_601,2020-06-21,,,June,14,2020-06-15 to  2020-06-21,ios
201,,,,,INS-W_601,2020-06-22,,,June,15,2020-06-22 to  2020-06-28,ios
202,,,,,INS-W_601,2020-06-23,,,June,15,2020-06-22 to  2020-06-28,ios
203,,,,,INS-W_601,2020-06-24,,,June,15,2020-06-22 to  2020-06-28,ios
204,,,,,INS-W_601,2020-06-25,,,June,15,2020-06-22 to  2020-06-28,ios
205,,,,,INS-W_601,2020-06-26,,,June,15,2020-06-22 to  2020-06-28,ios
206,437.0,,,1554.0,INS-W_602,2020-03-16,,,Mar,1,2020-03-16 to  2020-03-22,android
207,498.0,,594.5,1545.5,INS-W_602,2020-03-17,,,Mar,1,2020-03-16 to  2020-03-22,android
208,504.0,,634.5,1544.0,INS-W_602,2020-03-18,191.896833333333,32.0,Mar,1,2020-03-16 to  2020-03-22,android
209,495.0,,653.5,1487.0,INS-W_602,2020-03-19,174.505966666667,26.0,Mar,1,2020-03-16 to  2020-03-22,android
210,523.0,,591.5,1413.0,INS-W_602,2020-03-20,162.709916666667,26.0,Mar,1,2020-03-16 to  2020-03-22,android
211,519.0,,538.5,1458.5,INS-W_602,2020-03-21,13.02935,2.0,Mar,1,2020-03-16 to  2020-03-22,android
212,504.0,,565.0,1424.5,INS-W_602,2020-03-22,108.308216666667,26.0,Mar,1,2020-03-16 to  2020-03-22,android
213,510.0,,536.0,1399.5,INS-W_602,2020-03-23,156.099383333333,29.0,Mar,2,2020-03-23 to  2020-03-29,android
214,537.0,,534.5,1392.5,INS-W_602,2020-03-24,105.784833333333,38.0,Mar,2,2020-03-23 to  2020-03-29,android
215,460.0,,539.0,1510.0,INS-W_602,2020-03-25,93.7704166666667,31.0,Mar,2,2020-03-23 to  2020-03-29,android
216,468.0,,594.0,1509.5,INS-W_602,2020-03-26,117.052533333333,35.0,Mar,2,2020-03-23 to  2020-03-29,android
217,454.0,,585.0,1526.5,INS-W_602,2020-03-27,33.94585,17.0,Mar,2,2020-03-23 to  2020-03-29,android
218,486.0,,583.5,1513.0,INS-W_602,2020-03-28,77.1796666666667,15.0,Mar,2,2020-03-23 to  2020-03-29,android
219,448.0,,629.0,1530.5,INS-W_602,2020-03-29,55.9723166666667,11.0,Mar,2,2020-03-23 to  2020-03-29,android
220,457.0,,596.5,1496.0,INS-W_602,2020-03-30,126.665566666667,35.0,Mar,3,2020-03-30 to  2020-04-05,android
221,496.0,,549.0,1536.0,INS-W_602,2020-03-31,84.2716333333333,41.0,Mar,3,2020-03-30 to  2020-04-05,android
222,457.0,,645.5,1496.5,INS-W_602,2020-04-01,33.7519833333333,24.0,Apr,3,2020-03-30 to  2020-04-05,android
223,550.0,,548.5,1517.0,INS-W_602,2020-04-02,201.015516666667,7.0,Apr,3,2020-03-30 to  2020-04-05,android
224,510.0,,678.5,1563.5,INS-W_602,2020-04-03,53.37955,12.0,Apr,3,2020-03-30 to  2020-04-05,android
225,522.0,,700.5,1472.0,INS-W_602,2020-04-04,172.834983333333,30.0,Apr,3,2020-03-30 to  2020-04-05,android
226,506.0,,603.5,1500.5,INS-W_602,2020-04-05,108.21145,25.0,Apr,3,2020-03-30 to  2020-04-05,android
227,414.0,,602.5,1550.0,INS-W_602,2020-04-06,180.9941,47.0,Apr,4,2020-04-06 to  2020-04-12,android
228,377.0,,559.0,1433.0,INS-W_602,2020-04-07,194.364483333333,46.0,Apr,4,2020-04-06 to  2020-04-12,android
229,497.0,,419.0,1458.5,INS-W_602,2020-04-08,88.58035,38.0,Apr,4,2020-04-06 to  2020-04-12,android
230,511.0,,558.5,1512.5,INS-W_602,2020-04-09,78.7793,42.0,Apr,4,2020-04-06 to  2020-04-12,android
231,542.0,,601.5,1484.0,INS-W_602,2020-04-10,148.448866666667,12.0,Apr,4,2020-04-06 to  2020-04-12,android
232,458.0,,628.5,1553.5,INS-W_602,2020-04-11,142.533216666667,61.0,Apr,4,2020-04-06 to  2020-04-12,android
233,449.0,,625.5,1559.0,INS-W_602,2020-04-12,47.2968666666667,7.0,Apr,4,2020-04-06 to  2020-04-12,android
234,410.0,,619.5,1566.0,INS-W_602,2020-04-13,,,Apr,5,2020-04-13 to  2020-04-19,android
235,595.0,,562.0,1438.0,INS-W_602,2020-04-14,,,Apr,5,2020-04-13 to  2020-04-19,android
236,453.0,,641.5,1507.0,INS-W_602,2020-04-15,53.7133333333333,10.0,Apr,5,2020-04-13 to  2020-04-19,android
237,577.0,,560.5,1503.5,INS-W_602,2020-04-16,,,Apr,5,2020-04-13 to  2020-04-19,android
